"","DATE","State","Census_year","Estimated_Population.x","election_year","Year","added_electors","FullName","Resident.Population","Percent.Change.in.Resident.Population","Resident.Population.Density","Resident.Population.Density.Rank","Number.of.Representatives","Change.in.Number.of.Representatives","Average.Apportionment.Population.Per.Representative","Electors","census_pop_numeric","electoral_power","pop_difference","pop_deviation","Date_year","Electoral.Vote.of.each.State","Republican","Democratic","Winner","total_pop.x","total_electors","pop_percent","elector_percent","Estimated_Population.y","total_pop.y","estimate_electors"
"1","1910-01-01","AK",1900,NA,FALSE,NA,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,NA,NA,NA,NA,NA
"2","1910-01-01","AL",1900,2150000,FALSE,NA,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.0232668874315521,NA,NA,NA,NA
"3","1910-01-01","AR",1900,1583000,FALSE,NA,NA,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.0171309222344869,NA,NA,NA,NA
"4","1910-01-01","AZ",1900,206000,FALSE,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.00222929247018592,NA,NA,NA,NA
"5","1910-01-01","CA",1900,2406000,FALSE,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.0260372703071229,NA,NA,NA,NA
"6","1910-01-01","CO",1900,804000,FALSE,NA,NA,"Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.0087007337185897,NA,NA,NA,NA
"7","1910-01-01","CT",1900,1122000,FALSE,NA,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.0121420686968379,NA,NA,NA,NA
"8","1910-01-01","DC",1900,334000,FALSE,NA,NA,"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.00361448390797134,NA,NA,NA,NA
"9","1910-01-01","DE",1900,203000,FALSE,NA,NA,"Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.00219682704586282,NA,NA,NA,NA
"10","1910-01-01","FL",1900,756000,FALSE,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1910,NA,NA,NA,NA,92406000,0,0.00818128692942017,NA,NA,NA,NA
